col1,col2,col3,col4,col5,col6,col7,col8,sort_date
2025-1454,05/13/2025 1:27 PM,05/13/2025 1:22 AM - 05/13/2025 1:46 AM,Criminal Trespass,Lipton Residence Hall,Washington Square,A campus safety officer reported a Criminal Trespass.,Closed/ Referred to NYPD,2025-05-13
2025-1462,05/13/2025 8:22 PM,05/13/2025 7:50 PM - 05/13/2025 8:30 PM,Harassment,Bobst Library,Washington Square,A student reported Harassment.,Open,2025-05-13
2025-1471,05/14/2025 4:06 PM,05/14/2025 3:10 AM - 05-14-2025,Larceny,Schwartz Hall,Kips Bay,An individual reported a Larceny.,Open,2025-05-14
2025-1473,05/14/2025 8:25 PM,05/14/2025 8:10 PM - 05/14/2025 8:10 PM,Larceny,LaGuardia Place & West 3rd Street,Washington Square,A staff member reported a Larceny.,Closed,2025-05-14
2025-1480,05/15/2025,05-13-2025 - 05/15/2025 10:23 PM,Larceny,Second Street Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-05-15
2025-1476,05/15/2025 12:05 AM,05/15/2025 12:05 PM - 05/15/2025 12:23 AM,Criminal Mischief,238 Thompson Street - Call Box,Washington Square,A campus safety officer reported Criminal Mischief.,Closed,2025-05-15
2025-1477,05/15/2025 3:01 AM,05/15/2025 3:01 AM - 05/15/2025 3:23 AM,Criminal Mischief,Hayden Residence Hall - Call Box,Washington Square,A campus safety officer reported Criminal Mischief.,Closed,2025-05-15
01496-2025,05-16-2025 10:01 AM,05-16-2025 9:45 AM,Liquor Law Violation,Palladium Residence Hall,Washington Square,An RA reported underage possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-05-16
2025-1486,05-16-2025,05-10-2025 9:02 AM - 05-16-2025 3:15 PM,Larceny,Weissman Hall,Kips Bay,A staff member reported missing property.,Closed,2025-05-16
2025-1482,05-16-2025 6:19 AM,05-14-2025 4:15 PM,Harassment,561 LaGuardia Place,Washington Square,A contractor reported Harassment.,Closed,2025-05-16
2025-1491,05-17-2025 7:58 PM,05-17-2025 7:58 PM,Criminal Mischief,18 Washington Square North - Exterior,Washington Square,A staff member reported graffiti.,Closed/ Referred to NYPD,2025-05-17
2025-1497,05-18-2025 8:53 PM,05-18-2025,Harassment,West 3rd Steet at McDougal Street,Washington Square,A student reported Harassment.,Closed/ Referred to NYPD,2025-05-18
2025-1498,05-19-2025 11:12 AM,05-19-2025 11:12 AM - 05-19-2025 12:00 PM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Closed/ Referred to NYPD,2025-05-19
2025-1520,05/21/2025 3:30 PM,05/21/2025 1:45 PM - 05/21/2025 2:00 PM,Criminal Mischief,Hayden Residence Hall,Washington Square,A student reported Criminal Mischief.,Closed,2025-05-21
2025-1527,05/22/2025 1:04 PM,05/22/2025 11:57 AM - 05-22-2025,Harassment,561 LaGuardia Place - Exterior,Washington Square,A campus safety officer reported Harassment,Open,2025-05-22
2025-1528,05/22/2025 3:17 PM,04/03/2025 12:30 PM - 04-03-2025,Harassment,Duke House,Upper East Side,A staff member reported Harassment.,Open,2025-05-22
2025-1529,05/22/2025 4:27 PM,05/22/2025 1:00 PM - 05/22/2025 4:00 PM,Larceny,721 Broadway,Washington Square,A student reported a Larceny.,Open,2025-05-22
2025-1532,05/22/2025 11:09 AM,05/21/2025 11:10 PM - 05/21/2025 10:16 PM,Robbery,Pless Annex - Exterior,Washington Square,The NYPD reported a Robbery.,Closed/ Referred to NYPD,2025-05-22
C.0011545,05-23-2025 1:01 PM,05-21-2025 4:00 PM,Harassment,708 Broadway,Washington Square,A staff member reported Harassment.,Closed/ Referred to Title IX,2025-05-23
2025-1535,05-23-2025 11:17 AM,04-21-2025 - 05-23-2025,Harassment,70 Washington Square South,Washington Square,A staff member reported Harassment.,Closed/ Referred to NYPD,2025-05-23
2025-1541,05-23-2025 10:03 PM,03-19-2025 7:00 PM - 03-19-2025 10:30 PM,Larceny,Palladium Hall,Washington Square,A student reported missing property.,Open,2025-05-23
2025-1539,05-23-2025 4:25 PM,05-23-2025 1:30 PM - 05-23-2025 4:25 PM,Motor Vehicle Theft,Coral Towers - Exterior,Washington Square,A contractor reported a stolen e-bike.,Closed,2025-05-23
2025-1536,05-23-2025 11:25 AM,05-23-2025 11:04 AM,Harassment,Bobst Library - Exterior,Washington Square,A student reported Harassment.,Closed/ Referred to NYPD,2025-05-23
01555 -2025,05-24-2025 10:23 PM,05-11-2025 - 05-24-2025,Larceny,Third North Residence Hall,Washington Square,A student reported missing property.,Open,2025-05-24
2025-1564,05-25-2025 3:14 PM,05-24-2025,Harassment,Bobst Library,Washington Square,A student reported Harassment.,Open,2025-05-25
2025-1568,05-27-2025 2:49 PM,05-27-2025 2:49 PM,Criminal Trespass,726 Broadway,Washington Square,A staff member reported a Criminal Trespass.,Open,2025-05-27
01565-2025,05-27-2025 12:34 PM,05-19-2025 12:35 PM - 05-22-2025 10:10 AM,Larceny / Criminal Mischief,Paulson Residence Hall,Washington Square,A staff member reported Criminal Mischief and missing property.,Closed/ Referred to NYPD,2025-05-27
2025-1578,05-28-2025 5:01 PM,05-28-2025 4:59 PM 05-28-2025 5:10 PM,Criminal Trespass,44 West 4th Street,Washington Square,A Campus Safety Officer reported a Criminal Trespass.,Closed,2025-05-28
2025-1581,05-28-2025 6:42 PM,05-28-2025 4:15 PM 05-28-2025 6:15 PM,Larceny,Palladium Hall,Washington Square,A student reported missing property.,Open,2025-05-28
2025-1590,05-29-2025 9:00 PM,05-29-2025 4:55 PM - 05-29-2025 9:00 PM,Larceny,Vanderbilt Hall,Washington Square,A contractor reported missing property.,Open,2025-05-29
01582-2025,05-29-2025 11:59 AM,05-08-2025 10:00 AM - 05-09-2025,Larceny,Third North Hall,Washington Square,A student reported missing property.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-05-29
2025-1587,05-29-2025 2:45 PM,05-29-2025 2:45 PM - 05-29-2025 2:53 PM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-05-29
2025-1584,05-29-2025 10:54 AM,05-29-2025 9:30 AM - 05-29-2025 10:45 AM,Larceny,Palladium Hall,Washington Square,A student reported missing property.,Open,2025-05-29
2025-1592,05-30-2025 10:00 AM,05-30-2025 8:30 AM - 05-30-2025 9:55 AM,Larceny,Weissman Hall - Exterior,Kips Bay,A patient reported missing property.,Closed/ Referred to NYPD,2025-05-30
2025-1595,05/31/2025 12:37 PM,05/31/2025 12:14 PM - 05/31/2025 12:14 PM,Criminal Trespass,Tisch Hall,Washington Square,A campus safety officer reported a Criminal Trespass.,Closed,2025-05-31
2025-1599,06/01/2025 5:53 PM,06/01/2025 1:00 PM - 06/01/2025 2:20 PM,Larceny,University Residence Hall,Washington Square,A student reported a Larceny.,Closed,2025-06-01
2025-1600,06/02/2025 9:45 AM,05/31/2025 1:07 PM - 05/31/2025 1:16 PM,Burglary,7 Washington Place,Washington Square,A staff member reported a Burglary.,Closed/ Referred to NYPD,2025-06-02
2025-1604,06/02/2025 11:58 AM,06/02/2025 11:37 AM - 06/02/2025 11:50 AM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-06-02
2025-1609,06/03/2025 3:19 AM,06/03/2025 3:19 AM - 06/03/2025 3:53 AM,Criminal Mischief,Silver Center - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-06-03
2025-1620,06/04/2025 9:44 AM,06/04/2025 5:30 AM - 06-04-2025,Harassment,University Hall - Exterior,Washington Square,A staff member reported Harassment.,Open,2025-06-04
2025-1626,06/06/2025 2:52 AM,06/06/2025 2:50 AM - 06/06/2025 4:58 AM,Criminal Mischief,Alumni Residence Hall - Exterior,Washington Square,A security officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-06-06
IRVS-2025-004,06/06/2025 9:32 AM,05/31/2025 8:30 PM - 06/01/2025 10:15 AM,Larceny,Second Street Residence - Exterior,Washington Square,The NYPD reported a Larceny.,Closed/ Referred to NYPD,2025-06-06
01618-2025,06/07/2025 12:31 AM,06/06/2025 11:29 PM - 06-06-2025,Liquor Law Violation,Gramercy Green Residence Hall,Washington Square,A student reported a Liquor Law Violation. x4,Closed/ Referred to Office of Student Conduct & Community Standards,2025-06-07
2025-1634,06/07/2025 4:58 PM,06/07/2025 4:58 PM - 06/07/2025 5:35 PM,Criminal Mischief,Barney Building - Exterior,Washington Square,An individual reported Criminal Mischief.,Closed/ Referred to NYPD,2025-06-07
2025-1646,06/09/2025 7:57 PM,06/09/2025 7:00 PM - 06/09/2025 7:55 PM,Larceny,404 Lafayette,Washington Square,A student reported a Larceny.,Closed,2025-06-09
2025-1647,06/09/2025 8:06 PM,06/09/2025 7:10 PM - 06/09/2025 8:20 PM,Motor Vehicle Theft,45 W 4th St - Exterior,Washington Square,A student reported a E-Scooter theft.,Closed,2025-06-09
2025-1655,06/11/2025 9:06 AM,06/11/2025 9:05 AM - 06/11/2025 10:15 AM,Criminal Mischief,1 Washington Place - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-06-11
2025-1660,06/11/2025 3:33 PM,06/11/2025 3:33 PM - 06/11/2025 4:25 PM,Criminal Mischief,1 West 4th Street - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-06-11
2025-1666,06/11/2025 6:52 PM,06/11/2025 8:00 AM - 06/11/2025 6:30 PM,Criminal Mischief,Schwartz Hall - Exterior,Kips Bay & Langone,A student reported Criminal Mischief.,Open,2025-06-11
2025-1676,06/12/2025 11:18 AM,06/12/2025 11:18 AM - 06-12-2025,Attempted Larceny/ Harassment,240 Mercer Street - Exterior,Washington Square,A student reported an Attempted Larceny/ Harassment.,Closed,2025-06-12
2025-1673,06/12/2025 9:30 AM,06/12/2025 9:30 AM - 06/12/2025 10:12 AM,Criminal Mischief,7-13 Washington Square North - Exterior,Washington Square,A staff member reported Criminal Mischief.,Closed/ Referred to NYPD,2025-06-12
01661-2025,06-14-2025 12:04 AM,06-13-2025 9:15 PM,Liquor Law Violation (x2),Lafayette Hall,Washington Square,A staff member reported underage possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-06-14
2025-1694,06-15-2025 11:44 PM,06-15-2025 11:44 PM,Criminal Mischief,Kervorkian Center,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-06-15
2025-1695,06-16-2025 12:28 AM,06-16-2025 12:28 AM,Criminal Mischief,Barney Building,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-06-16
2025-1697,06-16-2025 8:55 AM,06-06-2025 - 06-16-2025,Larceny,Kimmel Center,Washington Square,A contractor reported missing property.,Open,2025-06-16
2025-1699,06-16-2025 8:59 AM,06-16-2025 8:59 AM - 06-16-2025 9:15 AM,Disorderly Conduct,Weissman Building,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-06-16
2025-1701,06-16-2025 12:51 PM,06-16-2025 12:51 PM - 06-16-2025 12:55 PM,Criminal Trespass,Vanderbilt Hall,Washington Square,A Campus Safety Officer reported Criminal Tresspass.,Open,2025-06-16
2025-1704,06-16-2025 11:00 PM,06-16-2025 11:00 PM - 06-16-2025 11:19 PM,Criminal Trespass,100 Washington Square East,Washington Square,A staff member reported Criminal Trespass.,Closed,2025-06-16
2025-1708,06-17-2025 11:41 AM,06-17-2025 11:41 AM,Fondling,Schwartz Hall,Kips Bay,A guest reported a Fondling.,Closed,2025-06-17
2025-1716,06-18-2025 2:00 PM,06-18-2025 1:34 PM - 06-18-2025 1:37 PM,Robbery,Mercer Street and Washington Place,Washington Square,An employee reported a Robbery.,Closed/ Referred to NYPD,2025-06-18
2025-1721,06-19-2025 4:45 PM,06-19-2025 4:45 PM - 06-19-2025 5:20 PM,Loitering,Schwartz Hall,Kips Bay,A Campus Safety Officer reported Loitering.,Closed/ Referred to NYPD,2025-06-19
01685-2025,06-19-2025 12:11 AM,06-19-2025 12:11 AM,Criminal Mischief,Lafayette Hall,Washington Square,A staff member reported damage to property.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-06-19
2025-1726,06-20-2025 3:00 PM,06-18-2025 3:00 PM - 06-20-2025 9:00 AM,Larceny,Bobst Library,Washington Square,A staff member reported missing property.,Open,2025-06-20
202-1728,06-20-2025 3:51 PM,06-20-2025 3:51 PM,Criminal Mischief,Kimmel Center,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-06-20
2025-1729,06-20-2025 4:35 PM,06-20-2025 4:35 PM,Liquor Law Violation,80 Lafayette Street,Washington Square,A Campus Safety Officer reported underage possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-06-20
2025-1730,06-20-2025 7:45 PM,06-20-2025 1:00 PM - 06-20-2025 7:45 PM,Larceny,Greenwich Hall,Washington Square,A student reported missing property.,Open,2025-06-20
2025-1733,06-20-2025 8:36 PM,06-20-2025 3:00 PM - 06-20-2025 8:30 PM,Criminal Mischief,404 Lafayette Street - Exterior,Washington Square,A student reported Criminal Mischief.,Open,2025-06-20
2025-1738,06-21-2025 5:39 AM,06-21-2025 5:39 AM,Criminal Mishcief,Silver Building - Exterior,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-06-21
2025-1744,06-22-2025 2:25 PM,06-21-2025 4:40 PM - 06-21-2025 4:45 PM,Larceny,Palladium Center,Washington Square,A student reported missing property.,Open,2025-06-22
2025-1741,06-22-2025 1:03 AM,06-22-2025 1:03 AM,Criminal Mischief,1 Washington Place - Exterior,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-06-22
2025-1752,06-23-2025 5:37 PM,06-23-2025 9:30 AM - 06-23-2025 12:00 PM,Found Property (Reclassified from Larceny),SPS Midtown Center,Midtown Center,A staff member reported missing property.,Open,2025-06-23
01701-2025,06-23-2025 1:36 PM,06-21-2025 10:30 AM,Harassment,Broome Residence Hall,Washington Square,A student reported Harassment.,Open,2025-06-23
01710-2025,06-24-2025 12:07 PM,02-2025 - 06-24-2025,Harassment,Student Technology Center,Washington Square,A student reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-06-24
2025-1772,06-25-2025 7:29 PM,06-25-2025 1:10 PM - 06-25-2025 6:56 PM,Larceny,Weissman Hall,Kips Bay,A staff member reported missing property.,Closed/ Referred to NYPD,2025-06-25
2025-1770,06-25-2025 4:00 PM,06-25-2025 3:45 PM,Larceny,Washington Square Park,Washington Square,A student reported stolen property.,Closed/ Referred to NYPD,2025-06-25
2025-1773,06-26-2025 8:50 PM,06-23-2025 8:05 PM,Larceny,721 Broadway - Exterior,Washington Square,An NYU-affiliate reported missing property.,Closed,2025-06-26
2025-1776,06-26-2025 10:17 AM,06-26-2025 10:17 AM - 06-26-2025 10:27 AM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-06-26
2025-1785,06-26-2025 4:25 PM,06-26-2025 11:45 AM - 06-26-2025 4:21 PM,Larceny,Schwartz Hall,Kips Bay,A student reported missing property.,Open,2025-06-26
2025-1786,06-26-2025 6:15 PM,06-26-2025,Criminal Trespass (x5),Paulson Center,Washington Square,A staff member reported Criminal Trespass.,Closed,2025-06-26
01718-2025,06-26-2025 11:33 AM,06-25-2025 1:15 PM,Criminal Mischief / Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Criminal Mischief and Disorderly Conduct.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-06-26
2025-1779,06-26-2025 11:52 AM,06-26-2025 10:30 AM - 06-26-2025 11:30 AM,Larceny,Palladium Hall,Washington Square,A student reported missing property.,Open,2025-06-26
IRVS 2025-005,06-29-2025 8:20 PM,06-29-2025 8:20 PM - 06-29-2025 8:47 PM,Weapons Law Violation (Arrest) / Disorderly Conduct / Aggravated Assault (x40),Washington Square Park,Washington Square,"A Campus Safety Officer reported Weapons Law Violation (Arrest), Disorderly Conduct, and 40 counts of Aggravated Assault.",Closed/ Referred to NYPD,2025-06-29
2025-1805,06/30/2025 6:19 AM,06/30/2025 6:00 AM - 06-30-2025,Criminal Mischief,546 LaGuardia Place - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2025-06-30
2025-1807,06-30-2025 9:55 AM,06-26-2025 8:00 PM - 06-26-2025 11:30 PM,Criminal Mischief,246 Greene Street - Exterior,Washington Square,A staff member reported Criminal Mischief.,Open,2025-06-30
2025-1811,06-30-2025 3:55 PM,06-30-2025 2:55 PM - 06-30-2025 3:50 PM,Motor Vehicle Theft,6 Metrotech - Exterior,Brooklyn Commons,An NYU affiliate reported a stolen electric scooter.,Open,2025-06-30
2025-1819,07-01-2025 4:33 PM,05-11-2024 - 06-29-2025,Harassment,Education Building,Washington Square,A staff member reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-07-01
2025-1818,07-01-2025 3:21 PM,06-30-2025 4:20 PM - 07-01-2025 3:12 PM,Larceny,726 Broadway,Washington Square,A visitor reported missing property.,Open,2025-07-01
01757-2025,07-01-2025 9:30 AM,06-26-2025 - 06-29-2025,Harassment,Weinstein Residence Hall,Washington Square,An NYU-affiliate reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-07-01
2025-1823,07/02/2025 8:40 AM,07/02/2025 8:20 AM - 07/02/2025 8:39 AM,Criminal Mischief,University Residence Hall,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2025-07-02
2025-1830,07/02/2025 4:05 PM,06/25/2025 2:40 PM - 07/02/2025 3:00 PM,Found Property (Reclassified from Larceny),708 Broadway,Washington Square,A student reported a Larceny.,Closed,2025-07-02
2025-1831,07/02/2025 11:37 PM,05/15/2025 11:00 PM - 05-16-2025,Rape x2/ Fondling/ Sexual Abuse,Brittany Residence Hall,Washington Square,A student reported a Rape x2/Fondling/Sexual Abuse,Open,2025-07-02
2025-1822,07/02/2025 7:47 AM,07/01/2025 10:55 PM - 07/02/2025 7:47 AM,Larceny,370 Jay Street,Brooklyn Commons,A staff member reported a Larceny.,Open,2025-07-02
2025-1832,07-03-2025 11:03 am,07-03-2025 10:35 am,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Closed,2025-07-03
2025-1833,07-03-2025 11:10 am,07-03-2025 9:00 am - 07-03-2025 9:05 am,Attempted Trespass,Kimmel Center,Washington Square,A Campus Safety Officer prevented an attempted trespass.,Closed,2025-07-03
2025-1838,07-03-2025 4:35 pm,07-03-2025 11:00 am - 07-03-2025 4:30 pm,Motor Vehicle Theft,Schwartz Hall,Kips Bay,A student reported a Motor Vehicle Theft (electric scooter).,Closed/ Referred to NYPD,2025-07-03
2025-1842,07-04-2025 2:12 pm,07-04-2025 2:10 am,Criminal Mischief,Silver Building,Washington Square,A Campus Safety Officer reported vandalism.,Closed,2025-07-04
2025-1845,07-04-2025 8:35 pm,07-04-2025 8:20 pm - 07-04-2025 8:35 pm,Harassment,2 Washington Square Village - Exterior,Washington Square,A student reported being followed.,Closed,2025-07-04
2025-1847,07-05-2025 3:47 am,07-05-2025 3:35 am - 07-05-2025,Criminal Trespass,Furman Hall,Washington Square,A Campus Safety Officer observed and removed a trespasser.,Closed,2025-07-05
2025-1853,07-06-2025 12:02 am,07-06-2025 12:00 am,Criminal Mischief,Silver Building,Washington Square,A Campus Safety Officer observed graffiti on a construction wall.,Closed/ Referred to NYPD,2025-07-06
2025-1855,07-06-2025 4:26 am,07-06-2025 4:25 am,Criminal Mischief,725 Broadway,Washington Square,A Campus Safety Officer observed graffiti.,Closed/ Referred to NYPD,2025-07-06
2025-1859,07-06-2025 8:30 am,07-01-2025 4:35 pm - 07-06-2025 8:30 pm,Larceny,Third North Hall,Washington Square,A summer resident reported a stolen package.,Open,2025-07-06
2025-1860,07-06-2025 10:08 pm,07-06-2025 10:08 pm,Criminal Mischief,Alumni Hall,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-07-06
01813-2025,07-07-2025 3:30 PM,07-01-2025,Stalking,Founders Hall,Washington Square,An RA reported Stalking.,Closed/ Referre d to Title IX,2025-07-07
2025-1865,07-07-2025 1:12 PM,06-18-2025 2:30 PM - 06-20-2025 11:00 AM,Criminal Mischief,6 Metro Tech - Exterior,Brooklyn Commons,A staff member reported damaged property.,Closed,2025-07-07
2025-1863,07-07-2025 12:53 pm,07-07-2025 12:50 pm,Harassment,Weissman Hall - Exterior,Kips Bay & Langone (Public property only),A student reported Harassment.,Open,2025-07-07
